House Name,Price,Room Type,Area,Price per m2,Sun Direction,Floor Level,Furnishing,Review,Year Built,Lift,Property Quality,Residence Type,Building Structure,Building Type,Leasing Date
世纪城垂虹园，购房成本低，小三居，金源，地铁,1499,2室2厅1卫,122,122869,东南,低层,简装修,8.0,2017,有,商品房,普通住宅,平层,2023-06-15,118732\n元/平米
光大花园 2室2厅1卫 格局方正 品质小区,1410,2室2厅1卫,94.93,148530,东南,高层,精装修,6.6,2000,无,商品房,普通住宅,平层,板楼,2023-07-02
21年新装，拎包住！世纪城时雨园不临街高楼层+位置好+采光好,1660,3室2厅2卫,130,127692,西南,高层,简装修,6.5,2004,有,商品房,普通住宅,平层,板楼,2023-06-14
万城华府大平层，精装修，，发假拉黑,20000,10室3厅8卫,744.28,268716,南北,顶层,精装修,8.3,2000,有,个人产权,普通住宅,板楼,2023-07-01,176236\n元/平米
万柳书院 科技住宅 全明格局 有房本 随时交易,5400,3室2厅3卫,245,220408,南北,底层,豪华装修,8.0,2015,有,个人产权,普通住宅,平层,砖楼,2023-06-25
264平 万柳书院 电梯房 房东急置换 诚意出售,5500,3室2厅3卫,240.27,228909,南北,低层,精装修,8.0,2018,有,个人产权,普通住宅,平层,砖楼,2023-06-11
万城华府，万柳书院，平层复式 10套房源起看,8500,5室3厅4卫,356,238764,南北,底层,精装修,8.3,2006,有,个人产权,普通住宅,板楼,2023-06-11,176236\n元/平米
万城华府（南北双绿化）挑空客厅 配套车位,7800,4室3厅3卫,328.6,237371,南北,底层,精装修,8.3,2006,有,个人产权,普通住宅,板楼,2023-06-26,176236\n元/平米
万泉新新家园 3室2厅2卫 主卧朝南 带储藏间,2850,3室2厅2卫,172.16,165544,南北,中层,精装修,7.0,2003,无,商品房,普通住宅,平层,板楼,2023-07-02
西三环，缘溪堂，南北通透大平层，正对玉渊潭公园,3580,3室2厅5卫,309.4,115708,南北,低层,精装修,6.9,2008,无,商品房,普通住宅,平层,板楼,2023-06-29
海园（新出 使用面积310平）南花院 有车位,7100,4室3厅3卫,263.75,269194,南北,底层,精装修,8.3,2007,有,个人产权,普通住宅,板楼,2023-06-26,176236\n元/平米
人车分流 南向明卫 储物间 衣帽间 百万装修 独立餐厅 慈寿,1900,3室2厅2卫,157,121019,南北,低层,精装修,6.9,2004,有,个人产权,普通住宅,平层,砖楼,2023-06-04
万柳书院新房 精致装修 同看万城华府 缦和北京 龙湖颐和原著,5300,3室2厅2卫,218.4,242674,南北,顶层,简装修,8.0,2015,有,个人产权,普通住宅,平层,板楼,2023-06-10
万柳书院新出南北通透 装修保持好 同看万城华府 龙湖颐和原著,5500,3室2厅3卫,240,229167,南北,低层,精装修,8.0,2011,有,个人产权,普通住宅,平层,砖楼,2023-06-21
